raceid,circuit,km
1046,Bahrain International Circuit,3.543
1031,Red Bull Ring,4.318
1032,Red Bull Ring,4.318
1033,Hungaroring,4.381
1034,Silverstone Circuit,5.891
1035,Silverstone Circuit,5.891
1036,Circuit de Barcelona-Catalunya,4.655
1037,Circuit de Spa-Francorchamps,7.004
1038,Autodromo Nazionale di Monza,5.793
1039,Autodromo Internazionale del Mugello,5.245
1040,Sochi Autodrom,5.848
1041,Nürburgring,5.148
1042,Autódromo Internacional do Algarve,4.653
1043,Autodromo Enzo e Dino Ferrari,4.909
1044,Istanbul Park,5.338
1045,Bahrain International Circuit,5.412
1047,Yas Marina Circuit,5.554
