code,date,year,raceId,lap,time,milliseconds
SAI,2020-08-16,2020,1036,24,1:25.479,85479
SAI,2020-08-16,2020,1036,34,1:25.133,85133
SAI,2020-08-16,2020,1036,39,1:23.509,83509
SAI,2020-08-16,2020,1036,43,1:25.595,85595
SAI,2020-08-16,2020,1036,20,1:25.794,85794
SAI,2020-08-16,2020,1036,51,1:23.883,83883
SAI,2020-09-13,2020,1039,6,2:19.882,139882
SAI,2020-10-25,2020,1042,12,1:23.137,83137
SAI,2020-10-25,2020,1042,47,1:22.858,82858
SAI,2020-10-25,2020,1042,4,1:25.251,85251
SAI,2020-10-25,2020,1042,30,1:23.215,83215
SAI,2020-09-13,2020,1039,35,1:23.086,83086
SAI,2020-09-13,2020,1039,26,1:25.119,85119
SAI,2020-07-12,2020,1032,25,1:10.247,70247
SAI,2020-07-12,2020,1032,30,1:09.880,69880
NOR,2020-07-12,2020,1032,16,1:10.089,70089
SAI,2020-09-27,2020,1040,22,1:41.326,101326
SAI,2020-09-27,2020,1040,33,1:40.062,100062
SAI,2020-10-25,2020,1042,9,1:23.885,83885
SAI,2020-07-05,2020,1031,23,1:10.902,70902
SAI,2020-07-05,2020,1031,26,1:30.234,90234
SAI,2020-07-05,2020,1031,39,1:10.335,70335
SAI,2020-07-12,2020,1032,30,1:09.825,69825
SAI,2020-07-12,2020,1032,11,1:10.103,70103
SAI,2020-07-12,2020,1032,9,1:10.207,70207
SAI,2020-10-11,2020,1041,26,1:33.224,93224
SAI,2020-10-11,2020,1041,10,1:34.892,94892
SAI,2020-11-01,2020,1043,27,1:19.975,79975
SAI,2020-11-01,2020,1043,35,1:19.421,79421
SAI,2020-11-01,2020,1043,43,1:18.811,78811
SAI,2020-07-05,2020,1031,30,1:42.148,102148
SAI,2020-09-06,2020,1038,2,1:27.003,87003
SAI,2020-09-06,2020,1038,4,1:26.116,86116
SAI,2020-09-06,2020,1038,47,1:24.259,84259
SAI,2020-09-06,2020,1038,25,2:04.397,124397
SAI,2020-09-06,2020,1038,52,1:25.921,85921
SAI,2020-10-11,2020,1041,22,1:32.761,92761
SAI,2020-07-19,2020,1033,48,1:20.573,80573
SAI,2020-07-19,2020,1033,37,1:21.144,81144
SAI,2020-07-19,2020,1033,60,1:20.620,80620
SAI,2020-08-30,2020,1037,5,1:52.223,112223
SAI,2020-08-30,2020,1037,30,1:48.995,108995
SAI,2020-09-06,2020,1038,30,1:30.133,90133
SAI,2020-08-02,2020,1034,47,1:31.147,91147
SAI,2020-08-02,2020,1034,52,1:31.518,91518
SAI,2020-08-09,2020,1035,35,1:32.938,92938
SAI,2020-07-19,2020,1033,57,1:22.882,82882
SAI,2020-07-19,2020,1033,22,1:23.581,83581
SAI,2020-07-19,2020,1033,23,1:22.434,82434
SAI,2020-11-15,2020,1044,55,1:39.509,99509
SAI,2020-11-15,2020,1044,55,1:40.685,100685
SAI,2020-08-02,2020,1034,7,1:34.393,94393
SAI,2020-08-02,2020,1034,52,1:31.686,91686
SAI,2020-08-02,2020,1034,47,1:30.015,90015
SAI,2020-08-02,2020,1034,35,1:31.479,91479
SAI,2020-08-16,2020,1036,54,1:22.848,82848
NOR,2020-08-16,2020,1036,50,1:23.979,83979
SAI,2020-08-16,2020,1036,9,1:26.308,86308
SAI,2020-08-16,2020,1036,16,1:25.839,85839
SAI,2020-11-15,2020,1044,5,1:54.724,114724
SAI,2020-11-15,2020,1044,35,1:42.092,102092
SAI,2020-08-16,2020,1036,42,1:21.857,81857
SAI,2020-08-16,2020,1036,39,1:27.331,87331
SAI,2020-08-16,2020,1036,45,1:30.045,90045
SAI,2020-11-15,2020,1044,24,1:42.689,102689
SAI,2020-11-15,2020,1044,45,1:48.022,108022
SAI,2020-11-15,2020,1044,25,1:44.450,104450
NOR,2020-09-13,2020,1039,16,1:24.285,84285
SAI,2020-09-13,2020,1039,10,1:29.369,89369
SAI,2020-10-25,2020,1042,4,1:24.341,84341
SAI,2020-10-25,2020,1042,6,1:23.963,83963
SAI,2020-10-25,2020,1042,23,1:21.831,81831
SAI,2020-09-13,2020,1039,37,1:23.361,83361
SAI,2020-09-13,2020,1039,5,2:12.980,132980
SAI,2020-09-13,2020,1039,8,26:18.767,1578767
SAI,2020-09-27,2020,1040,49,1:43.137,103137
SAI,2020-09-27,2020,1040,28,2:01.129,121129
SAI,2020-10-25,2020,1042,47,1:19.923,79923
SAI,2020-10-25,2020,1042,8,1:24.102,84102
SAI,2020-10-25,2020,1042,35,1:24.100,84100
SAI,2020-10-25,2020,1042,9,1:23.659,83659
SAI,2020-07-12,2020,1032,49,1:09.703,69703
SAI,2020-09-27,2020,1040,11,1:41.561,101561
SAI,2020-09-27,2020,1040,9,1:41.432,101432
SAI,2020-09-27,2020,1040,7,1:43.668,103668
SAI,2020-09-27,2020,1040,30,1:41.367,101367
NOR,2020-09-27,2020,1040,40,1:40.748,100748
SAI,2020-07-05,2020,1031,2,1:11.958,71958
SAI,2020-07-05,2020,1031,1,1:15.104,75104
SAI,2020-07-12,2020,1032,54,1:08.387,68387
SAI,2020-07-12,2020,1032,48,1:09.061,69061
SAI,2020-07-12,2020,1032,15,1:10.490,70490
SAI,2020-07-12,2020,1032,63,1:07.864,67864
SAI,2020-11-01,2020,1043,26,1:20.227,80227
SAI,2020-11-01,2020,1043,34,1:19.412,79412
SAI,2020-11-01,2020,1043,54,1:58.101,118101
SAI,2020-11-01,2020,1043,26,1:20.033,80033
SAI,2020-11-01,2020,1043,6,1:20.817,80817
SAI,2020-11-01,2020,1043,56,2:08.057,128057
SAI,2020-10-11,2020,1041,13,1:32.744,92744
SAI,2020-10-11,2020,1041,44,1:59.674,119674
SAI,2020-10-11,2020,1041,24,1:33.316,93316
SAI,2020-10-11,2020,1041,55,1:30.838,90838
SAI,2020-11-01,2020,1043,57,1:47.176,107176
SAI,2020-11-01,2020,1043,33,1:19.874,79874
SAI,2020-08-30,2020,1037,12,3:03.917,183917
SAI,2020-08-30,2020,1037,44,1:50.035,110035
SAI,2020-08-30,2020,1037,44,1:50.913,110913
SAI,2020-09-06,2020,1038,16,1:26.296,86296
SAI,2020-09-06,2020,1038,24,1:27.579,87579
SAI,2020-10-11,2020,1041,11,1:45.077,105077
SAI,2020-07-19,2020,1033,34,1:22.665,82665
SAI,2020-07-19,2020,1033,41,1:21.880,81880
SAI,2020-07-19,2020,1033,39,1:20.703,80703
SAI,2020-07-19,2020,1033,37,1:23.267,83267
SAI,2020-08-30,2020,1037,27,1:50.507,110507
SAI,2020-08-30,2020,1037,5,1:50.001,110001
SAI,2020-07-19,2020,1033,54,1:21.443,81443
SAI,2020-07-19,2020,1033,16,1:24.223,84223
SAI,2020-07-19,2020,1033,16,1:24.201,84201
SAI,2020-07-19,2020,1033,22,1:21.635,81635
SAI,2020-07-19,2020,1033,17,1:22.112,82112
SAI,2020-07-19,2020,1033,21,1:23.963,83963
SAI,2020-08-02,2020,1034,21,1:33.056,93056
SAI,2020-08-09,2020,1035,44,1:31.539,91539
SAI,2020-08-09,2020,1035,41,1:31.910,91910
