code,constructorRef,circuit,gp,raceid,position,tm,ms,seconds,lap,stop,duration,box_time,box_seconds,accumulated,stint,compound,distance,stint_lap,stint_distance
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:35.051,95051,95,1,,,,,,1,C3,3.543,1,3.543
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:34.286,94286,94,2,,,,,95051,1,C3,7.086,2,7.086
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:30.745,90745,90,3,,,,,189337,1,C3,10.629,3,10.629
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:30.538,90538,90,4,,,,,280082,1,C3,14.172,4,14.172
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:32.414,92414,92,5,,,,,370620,1,C3,17.715,5,17.715
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:11.998,71998,71,6,,,,,463034,1,C3,21.258,6,21.258
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:00.720,60720,60,7,,,,,535032,1,C3,24.801,7,24.801
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,1:00.981,60981,60,8,,,,,595752,1,C3,28.344,8,28.344
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,1:00.011,60011,60,9,,,,,656733,1,C3,31.887,9,31.887
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,17,1:01.550,61550,61,10,,,,,716744,1,C3,35.43,10,35.43
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,1:00.576,60576,60,11,,,,,778294,1,C3,38.973,11,38.973
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.699,59699,59,12,,,,,838870,1,C3,42.516,12,42.516
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.737,59737,59,13,,,,,898569,1,C3,46.059,13,46.059
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.837,59837,59,14,,,,,958306,1,C3,49.602,14,49.602
AIT,williams,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.679,59679,59,15,,,,,1018143,1,C3,53.145,15,53.145
