code,stint,compound ,raceid 
BOT,1,C4,1031
HAM,1,C4,1031
LEC,1,C4,1031
NOR,1,C4,1031
SAI,1,C4,1031
PER,1,C4,1031
GAS,1,C3,1031
OCO,1,C3,1031
GIO,1,C3,1031
VET,1,C3,1031
LAT,1,C3,1031
KVY,1,C3,1031
ALB,1,C4,1031
RAI,1,C3,1031
RUS,1,C3,1031
GRO,1,C3,1031
MAG,1,C3,1031
STR,1,C4,1031
RIC,1,C4,1031
VER,1,C3,1031
BOT,2,C2,1031
HAM,2,C2,1031
LEC,2,C2,1031
NOR,2,C2,1031
SAI,2,C2,1031
PER,2,C3,1031
GAS,2,C2,1031
OCO,2,C2,1031
GIO,2,C2,1031
VET,2,C2,1031
LAT,2,C2,1031
KVY,2,C2,1031
ALB,2,C2,1031
RAI,2,C2,1031
RUS,2,C2,1031
GRO,2,C2,1031
LEC,3,C3,1031
NOR,3,C3,1031
SAI,3,C3,1031
GIO,3,C4,1031
VET,3,C4,1031
LAT,3,C4,1031
KVY,3,C4,1031
ALB,3,C4,1031
RAI,3,C4,1031
HAM,1,C4,1032
BOT,1,C4,1032
VER,1,C4,1032
ALB,1,C4,1032
NOR,1,C4,1032
PER,1,C4,1032
STR,1,C4,1032
RIC,1,C3,1032
SAI,1,C4,1032
KVY,1,C3,1032
RAI,1,C3,1032
MAG,1,C4,1032
GRO,1,C4,1032
GIO,1,C3,1032
GAS,1,C4,1032
RUS,1,C4,1032
LAT,1,C3,1032
OCO,1,C4,1032
LEC,1,C4,1032
VET,1,C3,1032
HAM,2,C3,1032
BOT,2,C3,1032
VER,2,C3,1032
ALB,2,C3,1032
NOR,2,C3,1032
PER,2,C3,1032
STR,2,C3,1032
RIC,2,C4,1032
SAI,2,C3,1032
KVY,2,C2,1032
RAI,2,C4,1032
MAG,2,C3,1032
GRO,2,C3,1032
GIO,2,C4,1032
GAS,2,C2,1032
RUS,2,C3,1032
LAT,2,C4,1032
LEC,2,C2,1032
VER,3,C4,1032
SAI,3,C4,1032
GAS,3,C4,1032
HAM,1,INTER,1033
VER,1,INTER,1033
BOT,1,INTER,1033
STR,1,INTER,1033
ALB,1,INTER,1033
VET,1,INTER,1033
PER,1,INTER,1033
RIC,1,INTER,1033
MAG,1,C3,1033
SAI,1,INTER,1033
LEC,1,INTER,1033
KVY,1,INTER,1033
NOR,1,INTER,1033
OCO,1,INTER,1033
GRO,1,C3,1033
RAI,1,INTER,1033
GIO,1,INTER,1033
RUS,1,INTER,1033
LAT,1,INTER,1033
GAS,1,INTER,1033
HAM,2,C3,1033
VER,2,C3,1033
BOT,2,C3,1033
STR,2,C3,1033
ALB,2,C3,1033
VET,2,C3,1033
PER,2,C3,1033
RIC,2,C3,1033
MAG,2,C2,1033
SAI,2,C3,1033
LEC,2,C4,1033
KVY,2,C4,1033
NOR,2,C3,1033
OCO,2,C3,1033
GRO,2,C2,1033
RAI,2,C3,1033
GIO,2,C4,1033
RUS,2,C4,1033
LAT,2,C4,1033
GAS,2,C4,1033
HAM,3,C3,1033
VER,3,C2,1033
BOT,3,C3,1033
STR,3,C3,1033
ALB,3,C2,1033
VET,3,C2,1033
PER,3,C2,1033
RIC,3,C3,1033
SAI,3,C2,1033
LEC,3,C2,1033
KVY,3,C2,1033
NOR,3,C2,1033
OCO,3,C2,1033
RAI,3,C2,1033
GIO,3,C3,1033
RUS,3,C3,1033
LAT,3,C3,1033
HAM,4,C4,1033
BOT,4,C2,1033
STR,4,C2,1033
GIO,4,C2,1033
RUS,4,C3,1033
LAT,4,C3,1033
LAT,5,C4,1033
LAT,6,C2,1033
HAM,1,C2,1034
VER,1,C2,1034
LEC,1,C2,1034
RIC,1,C3,1034
NOR,1,C3,1034
OCO,1,C3,1034
GAS,1,C2,1034
ALB,1,C2,1034
STR,1,C2,1034
VET,1,C3,1034
BOT,1,C2,1034
GIO,1,C2,1034
RUS,1,C2,1034
SAI,1,C3,1034
LAT,1,C2,1034
GRO,1,C2,1034
RAI,1,C2,1034
KVY,1,C2,1034
MAG,1,C2,1034
HAM,2,C1,1034
VER,2,C1,1034
LEC,2,C1,1034
RIC,2,C1,1034
NOR,2,C1,1034
OCO,2,C1,1034
GAS,2,C1,1034
ALB,2,C1,1034
STR,2,C1,1034
VET,2,C1,1034
BOT,2,C1,1034
GIO,2,C1,1034
RUS,2,C1,1034
SAI,2,C1,1034
LAT,2,C1,1034
GRO,2,C1,1034
RAI,2,C1,1034
VER,3,C3,1034
ALB,3,C2,1034
BOT,3,C3,1034
SAI,3,C2,1034
RAI,3,C3,1034
VER,1,C2,1035
HAM,1,C3,1035
BOT,1,C3,1035
LEC,1,C3,1035
ALB,1,C3,1035
STR,1,C3,1035
HUL,1,C3,1035
OCO,1,C3,1035
NOR,1,C3,1035
KVY,1,C2,1035
GAS,1,C3,1035
VET,1,C2,1035
SAI,1,C2,1035
RIC,1,C3,1035
RAI,1,C2,1035
GRO,1,C3,1035
GIO,1,C3,1035
RUS,1,C3,1035
LAT,1,C3,1035
MAG,1,C3,1035
VER,2,C3,1035
HAM,2,C2,1035
BOT,2,C2,1035
LEC,2,C2,1035
ALB,2,C2,1035
STR,2,C2,1035
HUL,2,C2,1035
OCO,2,C2,1035
NOR,2,C2,1035
KVY,2,C2,1035
GAS,2,C2,1035
VET,2,C2,1035
SAI,2,C3,1035
RIC,2,C3,1035
RAI,2,C3,1035
GRO,2,C2,1035
GIO,2,C2,1035
RUS,2,C2,1035
LAT,2,C2,1035
MAG,2,C2,1035
VER,3,C2,1035
HAM,3,C2,1035
BOT,3,C2,1035
ALB,3,C2,1035
STR,3,C2,1035
HUL,3,C2,1035
NOR,3,C2,1035
KVY,3,C3,1035
GAS,3,C2,1035
VET,3,C3,1035
SAI,3,C2,1035
RIC,3,C2,1035
GRO,3,C2,1035
GIO,3,C3,1035
RUS,3,C2,1035
LAT,3,C2,1035
MAG,3,C2,1035
HUL,4,C4,1035
RIC,4,C3,1035
RUS,4,C3,1035
LAT,4,C3,1035
HAM,1,C3,1036
VER,1,C3,1036
BOT,1,C3,1036
PER,1,C3,1036
STR,1,C3,1036
SAI,1,C3,1036
VET,1,C2,1036
ALB,1,C3,1036
GAS,1,C3,1036
NOR,1,C3,1036
RIC,1,C2,1036
KVY,1,C3,1036
OCO,1,C2,1036
RAI,1,C2,1036
MAG,1,C3,1036
GIO,1,C2,1036
RUS,1,C3,1036
LAT,1,C2,1036
GRO,1,C2,1036
LEC,1,C3,1036
HAM,2,C2,1036
VER,2,C2,1036
BOT,2,C2,1036
PER,2,C2,1036
STR,2,C2,1036
SAI,2,C3,1036
VET,2,C3,1036
ALB,2,C1,1036
GAS,2,C2,1036
NOR,2,C3,1036
RIC,2,C3,1036
KVY,2,C2,1036
OCO,2,C3,1036
RAI,2,C2,1036
MAG,2,C2,1036
GIO,2,C2,1036
RUS,2,C2,1036
LAT,2,C2,1036
GRO,2,C3,1036
LEC,2,C2,1036
HAM,3,C2,1036
VER,3,C2,1036
BOT,3,C3,1036
STR,3,C3,1036
SAI,3,C2,1036
ALB,3,C2,1036
GAS,3,C2,1036
NOR,3,C2,1036
KVY,3,C2,1036
RAI,3,C3,1036
GIO,3,C3,1036
RUS,3,C2,1036
LAT,3,C3,1036
GRO,3,C3,1036
BOT,4,C2,1036
HAM,1,C3,1037
BOT,1,C3,1037
VER,1,C3,1037
RIC,1,C4,1037
OCO,1,C4,1037
ALB,1,C4,1037
NOR,1,C4,1037
GAS,1,C2,1037
STR,1,C4,1037
PER,1,C4,1037
KVY,1,C3,1037
RAI,1,C3,1037
VET,1,C3,1037
LEC,1,C4,1037
GRO,1,C3,1037
LAT,1,C3,1037
