code,circuit,gp,raceid,position,tm,ms,lap,box,accumulated
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:35.051,95051,1,,
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:34.286,94286,2,,95051
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:30.745,90745,3,,189337
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:30.538,90538,4,,280082
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:32.414,92414,5,,370620
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:11.998,71998,6,,463034
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,15,1:00.720,60720,7,,535032
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,1:00.981,60981,8,,595752
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,1:00.011,60011,9,,656733
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,17,1:01.550,61550,10,,716744
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,1:00.576,60576,11,,778294
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.699,59699,12,,838870
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.737,59737,13,,898569
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.837,59837,14,,958306
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.679,59679,15,,1018143
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.608,59608,16,,1077822
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.823,59823,17,,1137430
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.805,59805,18,,1197253
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.477,59477,19,,1257058
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.505,59505,20,,1316535
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,15,0:59.564,59564,21,,1376040
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,15,0:59.983,59983,22,,1435604
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,15,0:59.501,59501,23,,1495587
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,15,0:59.580,59580,24,,1555088
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,15,0:59.700,59700,25,,1614668
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,14,0:59.828,59828,26,,1674368
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,13,0:59.139,59139,27,,1734196
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,12,0:59.278,59278,28,,1793335
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,12,0:59.802,59802,29,,1852613
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,12,0:59.800,59800,30,,1912415
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,13,1:02.810,62810,31,1,1972215
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,1:20.577,80577,32,,2097835
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.218,58218,33,,2178412
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.046,58046,34,,2236630
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.673,58673,35,,2294676
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.452,58452,36,,2353349
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.925,58925,37,,2411801
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.082,59082,38,,2470726
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.739,58739,39,,2529808
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.900,58900,40,,2588547
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.659,58659,41,,2647447
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.784,58784,42,,2706106
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.633,58633,43,,2764890
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.692,58692,44,,2823523
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.776,58776,45,,2882215
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:59.679,59679,46,,2940991
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.921,58921,47,,3000670
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.799,58799,48,,3059591
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,0:58.703,58703,49,,3118390
AIT,Bahrain International Circuit,Sakhir Grand Prix,1046,16,1:00.166,60166,50,,3177093
