code,circuit,gp,raceid,position,tm,ms,lap,box,accumulated,compound,stint
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:15.104,75104,1,,0,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:10.362,70362,2,,75104,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.579,69579,3,,145466,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.853,69853,4,,215045,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.412,69412,5,,284898,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.525,69525,6,,354310,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.808,69808,7,,423835,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.649,69649,8,,493643,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:11.677,71677,9,,563292,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:10.495,70495,10,,634969,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:10.097,70097,11,,705464,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.883,69883,12,,775561,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.752,69752,13,,845444,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:10.010,70010,14,,915196,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:10.108,70108,15,,985206,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:10.082,70082,16,,1055314,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.823,69823,17,,1125396,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.907,69907,18,,1195219,soft,stint_1
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:10.085,70085,19,,1265126,soft,stint_1
