DriverNumber,TyreLife,Compound_Label,early_lap,late_lap,lap_numb_diff,laptime_diff,gap_diff,race
3,5,C3,2,50,48,-2.992,1.234,spain
3,6,C3,3,51,48,-0.26700000000001,0.3,spain
3,7,C3,4,52,48,-1.83200000000001,1.137,spain
3,15,C3,12,60,48,-2.745,1.167,spain
4,6,C3,3,54,51,-2.443,0.585,spain
4,7,C3,4,55,51,-1.00399999999999,1.089,spain
4,8,C3,5,56,51,-3.67100000000001,1.318,spain
5,5,C3,5,40,35,-1.937,0.316,spain
5,6,C3,6,41,35,-2.056,0.021,spain
5,11,C3,11,46,35,-4.175,0.596,spain
5,12,C3,12,47,35,-1.82299999999999,0.522,spain
5,13,C3,13,48,35,-0.972999999999999,0.0570000000000001,spain
5,14,C3,14,49,35,-1.078,0.455,spain
5,15,C3,15,50,35,-2.223,0.463,spain
5,16,C3,16,51,35,-1.961,0.415,spain
5,17,C3,17,52,35,-1.80800000000001,0.322,spain
5,18,C3,18,53,35,-1.062,0.736,spain
5,19,C3,19,54,35,-2.28700000000001,1.505,spain
5,20,C3,20,55,35,-2.444,1.377,spain
5,21,C3,21,56,35,-5.71000000000001,1.319,spain
5,8,C3,6,23,17,-1.14699999999999,1.584,us
5,9,C3,7,24,17,-1.66500000000001,1.467,us
5,10,C3,8,25,17,-1.30800000000001,0.013,us
5,11,C3,9,26,17,0.435999999999993,0.178,us
5,13,C3,11,28,17,-0.694000000000003,1.745,us
6,7,C2,16,34,18,-1.61399999999999,0.305,spain
6,8,C2,17,35,18,-1.008,0.493,spain
6,9,C2,18,36,18,-1.313,1.523,spain
6,10,C2,19,37,18,-1.494,1.94,spain
7,2,C3,2,14,12,-3.854,0.053,us
7,3,C3,3,15,12,-1.54299999999999,0.121,us
7,4,C3,4,16,12,-1.10299999999999,0.346,us
7,5,C3,5,17,12,-0.867000000000004,0.05,us
7,6,C3,6,18,12,-1.03,0.046,us
7,7,C3,7,19,12,-2.35599999999999,0.096,us
7,12,C3,12,24,12,-1.37,1.487,us
10,2,C2,6,41,35,-2.117,1.064,bahrain
10,3,C2,7,42,35,-2.60499999999999,0.174000000000003,bahrain
10,5,C2,9,44,35,-2.05200000000001,0.219999999999999,bahrain
10,6,C2,10,45,35,-2.68300000000001,1.352,bahrain
10,7,C2,11,46,35,-3.28699999999999,0.286999999999999,bahrain
10,8,C2,12,47,35,-3.81100000000001,0.35,bahrain
10,9,C2,13,48,35,-3.78399999999999,0.741,bahrain
