LapNumber,PitInTime,PitOutTime,Seconds
1,,0 days 00:25:37.894000,
2,,,75.67500000000001
3,,,74.254
4,,,74.307
5,,,74.17200000000001
6,,,87.601
7,0 days 01:11:37.672000,,119.617
8,0 days 01:13:49.545000,0 days 01:11:57.067000,131.737
9,,0 days 01:14:08.533000,147.627
10,,,75.98
11,,,74.607
12,,,94.983
13,,,99.738
14,,,84.357
15,,,74.337
16,,,74.534
17,,,74.747
18,,,75.71600000000001
19,,,74.30000000000001
20,,,74.424
21,,,74.533
22,,,74.531
23,,,74.775
24,,,75.12400000000001
25,,,74.976
26,0 days 01:38:27.522000,,78.676
27,,0 days 01:38:50.523000,89.802
28,,,73.364
29,,,73.162
30,,,84.31200000000001
31,,,79.397
32,,,73.22500000000001
33,,,73.29100000000001
34,,,73.491
35,,,73.47
36,,,73.515
37,,,73.967
38,,,73.39500000000001
39,,,73.46600000000001
40,,,73.584
41,,,73.577
42,,,73.394
43,0 days 01:59:53.355000,,77.41300000000001
44,,0 days 02:00:16.311000,89.598
45,,,72.135
46,,,71.982
47,,,72.384
48,,,74.577
49,,,72.71900000000001
50,,,72.559
51,,,72.971
52,,,72.486
53,,,72.65
54,,,72.83200000000001
55,,,72.563
56,,,72.424
57,,,72.387
58,,,73.4
59,,,72.379
60,,,72.581
61,,,72.869
62,,,73.29
63,,,73.19
64,,,72.834
65,,,72.947
66,,,73.174
67,,,73.233
68,,,73.41600000000001
69,,,73.557
70,,,73.602
71,,,73.86
