DriverNumber,Driver,LapNumber,TotalLaps,LapsRemain,LapTime,Seconds,FuelMultiplier,FB_y,FuelBurnConstant,Adj_FB,Adj_LapTime_FB,quali_delta,Stint,Compound_Label,Compound,TyreLife,TyreLife_perc,FreshTyre,LapStartTime,Team,TrackStatus,LapStartDate,ahead,gap_ahead,race,fq
9,MAZ,30,56,26,01:48.4,108.426,1.066,0.62,0.041,106.74,107.36,9.944,3,C3,MEDIUM,6,10.71428571,TRUE,0 days 01:54:52.490000,Haas F1 Team,1,55:54.2,55:13.3,40.953,us,96.796
63,RUS,36,56,20,01:42.7,102.693,0.82,0.62,0.041,101.253,101.873,9.937,2,C3,MEDIUM,23,41.07142857,TRUE,0 days 01:37:07.523000,Williams,1,07:07.5,06:56.0,11.545,bahrain,91.316
31,OCO,27,53,26,01:43.4,103.355,1.066,0.62,0.041,101.669,102.289,9.933,1,C2,HARD,27,50.94339623,TRUE,0 days 01:17:32.710000,Alpine F1 Team,1,47:32.7,47:31.5,1.177,france,91.736
16,LEC,30,53,23,01:42.5,102.483,0.943,0.62,0.041,100.92,101.54,9.933,2,C2,HARD,16,30.18867925,TRUE,0 days 01:22:35.939000,Ferrari,1,52:35.9,52:35.1,0.806,france,90.987
77,BOT,49,53,4,01:41.1,101.084,0.164,0.62,0.041,100.3,100.92,9.924,2,C2,HARD,32,60.37735849,TRUE,0 days 01:52:51.960000,Mercedes,1,22:52.0,22:46.4,5.614,france,90.376
9,MAZ,40,56,16,01:47.9,107.874,0.656,0.62,0.041,106.598,107.218,9.802,4,C3,MEDIUM,4,7.142857143,FALSE,0 days 02:12:42.001000,Haas F1 Team,1,13:43.7,12:32.9,10.8,us,96.796
16,LEC,39,53,14,01:42.0,101.981,0.574,0.62,0.041,100.787,101.407,9.8,3,C3,MEDIUM,4,7.547169811,FALSE,0 days 01:38:00.036000,Ferrari,1,08:00.0,07:54.6,5.423,france,90.987
63,RUS,63,71,8,01:28.7,88.701,0.328,0.62,0.041,87.753,88.373,9.795,2,C2,HARD,48,67.6056338,TRUE,0 days 02:31:35.430000,Williams,1,32:36.8,32:22.7,14.1,mexico,77.958
9,MAZ,22,66,44,01:32.0,91.969,1.804,0.62,0.041,89.545,90.165,9.738,1,C3,SOFT,22,33.33333333,TRUE,0 days 01:05:11.651000,Haas F1 Team,1,35:11.7,35:06.8,4.892,spain,79.807
55,SAI,36,53,17,01:41.9,101.853,0.697,0.62,0.041,100.536,101.156,9.696,2,C2,HARD,19,35.8490566,TRUE,0 days 01:32:32.663000,Ferrari,1,02:32.7,02:27.6,5.084,france,90.84
9,MAZ,37,56,19,01:47.9,107.875,0.779,0.62,0.041,106.476,107.096,9.68,3,C3,MEDIUM,13,23.21428571,TRUE,0 days 02:07:04.248000,Haas F1 Team,1,08:06.0,07:26.3,39.724,us,96.796
77,BOT,53,66,13,01:27.7,87.702,0.533,0.62,0.041,86.549,87.169,9.676,2,C2,MEDIUM,30,45.45454545,TRUE,0 days 01:47:27.998000,Mercedes,1,17:28.0,17:26.4,1.558,spain,76.873
99,GIO,33,72,39,01:21.5,81.476,1.599,0.62,0.041,79.257,79.877,9.667,2,C2,MEDIUM,6,8.333333333,TRUE,0 days 01:43:58.058000,Alfa Romeo,1,44:58.1,44:56.5,1.549,dutch,69.59
44,HAM,20,53,33,01:41.9,101.873,1.353,0.62,0.041,99.9,100.52,9.652,2,C2,HARD,1,1.886792453,TRUE,0 days 01:05:16.835000,Mercedes,1,35:16.8,35:08.0,8.801,france,90.248
7,RAI,37,66,29,01:30.4,90.354,1.189,0.62,0.041,88.545,89.165,9.628,1,C2,MEDIUM,37,56.06060606,TRUE,0 days 01:26:14.072000,Alfa Romeo,1,56:14.1,56:10.4,3.714,spain,78.917
99,GIO,29,53,24,01:43.0,103.02,0.984,0.62,0.041,101.416,102.036,9.603,2,C3,MEDIUM,1,1.886792453,TRUE,0 days 01:21:18.444000,Alfa Romeo,1,51:18.5,51:17.4,1.096,france,91.813
4,NOR,2,53,51,01:43.5,103.526,2.091,0.62,0.041,100.815,101.435,9.563,1,C3,MEDIUM,7,13.20754717,FALSE,35:18.0,McLaren,1,05:18.0,05:17.8,0.188,france,91.252
9,MAZ,23,56,33,01:48.3,108.314,1.353,0.62,0.041,106.341,106.961,9.545,2,C2,HARD,,0,TRUE,0 days 01:42:04.620000,Haas F1 Team,1,43:06.4,42:38.4,27.968,us,96.796
14,ALO,11,53,42,01:43.2,103.221,1.722,0.62,0.041,100.879,101.499,9.539,1,C3,MEDIUM,14,26.41509434,FALSE,50:26.2,Alpine F1 Team,1,20:26.2,20:24.4,1.792,france,91.34
77,BOT,67,72,5,01:19.6,79.564,0.205,0.62,0.041,78.739,79.359,9.517,2,C2,MEDIUM,36,50,TRUE,0 days 02:25:18.226000,Mercedes,1,26:18.2,25:52.4,25.791,dutch,69.222
63,RUS,2,53,51,01:44.3,104.277,2.091,0.62,0.041,101.566,102.186,9.501,1,C3,MEDIUM,2,3.773584906,TRUE,35:21.9,Williams,1,05:21.9,05:21.5,0.378,france,92.065
6,LAT,67,72,5,01:20.4,80.392,0.205,0.62,0.041,79.567,80.187,9.474,4,C1,HARD,44,61.11111111,TRUE,0 days 02:27:57.965000,Williams,1,28:58.0,28:39.7,18.251,dutch,70.093
3,RIC,46,66,20,01:28.5,88.536,0.82,0.62,0.041,87.096,87.716,9.474,2,C2,MEDIUM,21,31.81818182,TRUE,0 days 01:38:23.641000,McLaren,1,08:23.6,08:07.9,15.721,spain,77.622
31,OCO,2,53,51,01:43.9,103.919,2.091,0.62,0.041,101.208,101.828,9.472,1,C2,HARD,2,3.773584906,TRUE,35:18.9,Alpine F1 Team,1,05:18.9,05:18.0,0.89,france,91.736
55,SAI,53,53,0,01:40.9,100.926,0,0.62,0.041,100.306,100.926,9.466,2,C2,HARD,36,67.9245283,TRUE,0 days 02:00:50.684000,Ferrari,1,30:50.7,30:45.2,5.54,france,90.84
55,SAI,37,53,16,01:41.6,101.578,0.656,0.62,0.041,100.302,100.922,9.462,2,C2,HARD,20,37.73584906,TRUE,0 days 01:34:14.516000,Ferrari,1,04:14.5,04:12.6,1.883,france,90.84
11,PER,30,56,26,01:44.3,104.262,1.066,0.62,0.041,102.576,103.196,9.442,2,C3,MEDIUM,21,37.5,FALSE,0 days 01:52:17.705000,Red Bull,1,53:19.5,53:03.9,15.58,us,93.134
16,LEC,29,53,24,01:42.0,102.017,0.984,0.62,0.041,100.413,101.033,9.426,2,C2,HARD,15,28.30188679,TRUE,0 days 01:20:53.922000,Ferrari,1,50:53.9,50:52.1,1.784,france,90.987
9,MAZ,61,66,5,01:30.0,90.047,0.205,0.62,0.041,89.222,89.842,9.415,3,C2,MEDIUM,19,28.78787879,TRUE,0 days 02:01:32.879000,Haas F1 Team,1,31:32.9,30:53.0,39.845,spain,79.807
18,STR,66,72,6,01:20.6,80.618,0.246,0.62,0.041,79.752,80.372,9.385,2,C1,HARD,39,54.16666667,TRUE,0 days 02:26:01.888000,Aston Martin,1,27:01.9,27:00.6,1.268,dutch,70.367
77,BOT,5,71,66,01:28.6,88.582,2.706,0.62,0.041,85.256,85.876,9.381,2,C2,HARD,4,5.633802817,TRUE,0 days 01:10:24.083000,Mercedes,1,11:25.5,11:24.9,0.573,mexico,75.875
11,PER,25,53,28,01:41.5,101.545,1.148,0.62,0.041,99.777,100.397,9.332,2,C2,HARD,1,1.886792453,TRUE,0 days 01:13:44.072000,Red Bull,1,43:44.1,43:30.0,14.113,france,90.445
6,LAT,66,72,6,01:20.3,80.271,0.246,0.62,0.041,79.405,80.025,9.312,4,C1,HARD,43,59.72222222,TRUE,0 days 02:26:37.694000,Williams,1,27:37.7,27:24.6,13.105,dutch,70.093
55,SAI,8,56,48,01:45.7,105.682,1.968,0.62,0.041,103.094,103.714,9.302,1,C4,SOFT,11,19.64285714,FALSE,0 days 01:14:46.997000,Ferrari,1,15:48.7,15:46.7,2.086,us,93.792
16,LEC,28,53,25,01:41.9,101.931,1.025,0.62,0.041,100.286,100.906,9.299,2,C2,HARD,14,26.41509434,TRUE,0 days 01:19:11.991000,Ferrari,1,49:12.0,49:06.3,5.653,france,90.987
63,RUS,59,66,7,01:28.6,88.62,0.287,0.62,0.041,87.713,88.333,9.268,3,C2,MEDIUM,31,46.96969697,TRUE,0 days 01:57:19.828000,Williams,1,27:19.8,27:18.9,0.916,spain,78.445
47,MSC,33,53,20,01:43.6,103.647,0.82,0.62,0.041,102.207,102.827,9.265,2,C2,HARD,18,33.96226415,TRUE,0 days 01:28:25.871000,Haas F1 Team,1,58:25.9,58:02.0,23.877,france,92.942
16,LEC,28,66,38,01:28.9,88.933,1.558,0.62,0.041,86.755,87.375,9.245,1,C3,SOFT,31,46.96969697,FALSE,0 days 01:12:54.309000,Ferrari,1,42:54.3,42:43.0,11.289,spain,77.51
31,OCO,26,53,27,01:42.7,102.701,1.107,0.62,0.041,100.974,101.594,9.238,1,C2,HARD,26,49.05660377,TRUE,0 days 01:15:50.009000,Alpine F1 Team,1,45:50.0,45:46.1,3.886,france,91.736
16,LEC,34,72,38,01:20.9,80.851,1.558,0.62,0.041,78.673,79.293,9.236,1,C3,SOFT,37,51.38888889,FALSE,0 days 01:44:20.902000,Ferrari,1,45:20.9,45:14.6,6.267,dutch,69.437
16,LEC,56,56,0,01:43.4,103.442,0,0.62,0.041,102.822,103.442,9.216,3,C2,HARD,24,42.85714286,TRUE,0 days 02:36:24.673000,Ferrari,1,37:26.4,37:18.4,7.973,us,93.606
16,LEC,45,53,8,01:41.1,101.125,0.328,0.62,0.041,100.177,100.797,9.19,3,C3,MEDIUM,10,18.86792453,FALSE,0 days 01:47:51.585000,Ferrari,1,17:51.6,17:50.8,0.743,france,90.987
9,MAZ,24,78,54,01:24.9,84.946,2.214,0.62,0.041,82.112,82.732,9.154,1,C5,SOFT,24,30.76923077,TRUE,0 days 01:03:43.849000,Haas F1 Team,1,33:44.6,33:33.0,11.615,monaco,72.958
31,OCO,25,56,31,01:46.4,106.417,1.271,0.62,0.041,104.526,105.146,9.149,2,C2,HARD,22,39.28571429,TRUE,0 days 01:45:03.243000,Alpine F1 Team,1,46:05.0,46:03.5,1.464,us,95.377
14,ALO,13,53,40,01:42.7,102.744,1.64,0.62,0.041,100.484,101.104,9.144,1,C3,MEDIUM,16,30.18867925,FALSE,53:50.6,Alpine F1 Team,1,23:50.6,23:48.9,1.663,france,91.34
47,MSC,61,72,11,01:21.6,81.596,0.451,0.62,0.041,80.525,81.145,9.138,3,C2,MEDIUM,31,43.05555556,TRUE,0 days 02:21:38.511000,Haas F1 Team,1,22:38.5,21:14.7,23.801,dutch,71.387
6,LAT,57,72,15,01:20.5,80.457,0.615,0.62,0.041,79.222,79.842,9.129,4,C1,HARD,34,47.22222222,TRUE,0 days 02:14:58.464000,Williams,1,15:58.5,15:35.4,23.115,dutch,70.093
6,LAT,32,56,24,01:42.7,102.667,0.984,0.62,0.041,101.063,101.683,9.127,2,C3,MEDIUM,18,32.14285714,TRUE,0 days 01:30:52.065000,Williams,1,00:52.1,00:49.5,2.578,bahrain,91.936
9,MAZ,52,53,1,01:43.3,103.34,0.041,0.62,0.041,102.679,103.299,9.125,2,C3,MEDIUM,21,39.62264151,TRUE,0 days 02:00:17.167000,Haas F1 Team,1,30:17.2,30:07.4,9.788,france,93.554
55,SAI,31,72,41,01:20.9,80.945,1.681,0.62,0.041,78.644,79.264,9.107,1,C3,SOFT,34,47.22222222,FALSE,0 days 01:40:39.509000,Ferrari,1,41:39.5,41:29.1,10.436,dutch,69.537
