,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,0 days 00:10:10.534000,5,,1.0,1.0,0 days 00:00:04.180000,,,0 days 00:01:05.241000,0 days 00:00:42.025000,,0 days 00:09:28.509000,0 days 00:10:10.592000,208.0,151.0,150.0,180.0,,,,0 days 00:07:42.253000,Ferrari,VET,24,False,2018-04-29 12:13:42.330
1,0 days 00:13:19.852000,5,,2.0,1.0,,,0 days 00:01:15.810000,0 days 00:01:02.054000,0 days 00:00:51.455000,0 days 00:11:26.604000,0 days 00:12:28.397000,0 days 00:13:19.945000,143.0,142.0,172.0,129.0,,,,0 days 00:10:10.534000,Ferrari,VET,4,False,2018-04-29 12:16:10.611
2,0 days 00:15:53.280000,5,,3.0,1.0,,,0 days 00:00:56.139000,0 days 00:01:03.305000,0 days 00:00:33.905000,0 days 00:14:16.107000,0 days 00:15:19.402000,0 days 00:15:53.280000,118.0,128.0,253.0,225.0,SUPERSOFT,8.0,False,0 days 00:13:19.852000,Ferrari,VET,4,False,2018-04-29 12:19:19.929
3,0 days 00:18:27.547000,5,,4.0,1.0,,,0 days 00:00:56.675000,0 days 00:01:00.353000,0 days 00:00:37.267000,0 days 00:16:49.979000,0 days 00:17:50.280000,0 days 00:18:27.676000,152.0,122.0,262.0,214.0,SUPERSOFT,9.0,False,0 days 00:15:53.280000,Ferrari,VET,4,False,2018-04-29 12:21:53.357
4,0 days 00:21:30.534000,5,,5.0,1.0,,,0 days 00:00:54.160000,0 days 00:01:05.326000,0 days 00:01:03.543000,0 days 00:19:21.756000,0 days 00:20:27.027000,0 days 00:21:30.789000,124.0,95.0,279.0,87.0,SUPERSOFT,10.0,False,0 days 00:18:27.547000,Ferrari,VET,4,False,2018-04-29 12:24:27.624
5,0 days 00:23:21.850000,5,0 days 00:01:51.316000,6.0,1.0,,,0 days 00:00:39.676000,0 days 00:00:44.596000,0 days 00:00:27.044000,0 days 00:22:10.210000,0 days 00:22:54.806000,0 days 00:23:21.850000,189.0,188.0,300.0,297.0,SUPERSOFT,11.0,False,0 days 00:21:30.534000,Ferrari,VET,1,False,2018-04-29 12:27:30.611
6,0 days 00:25:11.437000,5,0 days 00:01:49.587000,7.0,1.0,,,0 days 00:00:38.742000,0 days 00:00:43.987000,0 days 00:00:26.858000,0 days 00:24:00.592000,0 days 00:24:44.579000,0 days 00:25:11.437000,200.0,188.0,300.0,297.0,SUPERSOFT,12.0,False,0 days 00:23:21.850000,Ferrari,VET,1,True,2018-04-29 12:29:21.927
7,0 days 00:26:59.902000,5,0 days 00:01:48.465000,8.0,1.0,,,0 days 00:00:38.170000,0 days 00:00:43.674000,0 days 00:00:26.621000,0 days 00:25:49.607000,0 days 00:26:33.281000,0 days 00:26:59.902000,197.0,201.0,302.0,300.0,SUPERSOFT,13.0,False,0 days 00:25:11.437000,Ferrari,VET,1,True,2018-04-29 12:31:11.514
8,0 days 00:28:47.747000,5,0 days 00:01:47.845000,9.0,1.0,,,0 days 00:00:38.063000,0 days 00:00:43.033000,0 days 00:00:26.749000,0 days 00:27:37.965000,0 days 00:28:20.998000,0 days 00:28:47.747000,198.0,198.0,302.0,300.0,SUPERSOFT,14.0,False,0 days 00:26:59.902000,Ferrari,VET,1,True,2018-04-29 12:32:59.979
9,0 days 00:30:35.253000,5,0 days 00:01:47.506000,10.0,1.0,,,0 days 00:00:37.724000,0 days 00:00:43.212000,0 days 00:00:26.570000,0 days 00:29:25.471000,0 days 00:30:08.683000,0 days 00:30:35.253000,205.0,206.0,301.0,298.0,SUPERSOFT,15.0,False,0 days 00:28:47.747000,Ferrari,VET,2,True,2018-04-29 12:34:47.824
