LapNumber,soft_compound,medium_compound,hard_compound,tyrelife,last_lap_delta,rolling_lt_avg,rolling_fastest_lap,faster_than_avg,new_fastest_lap,laptime
3,1,0,0,3,-0.726,110.972,110.972,1,1,110.246
4,1,0,0,4,-1.611,110.609,110.246,1,1,108.635
5,1,0,0,5,-0.234,109.951,108.635,1,1,108.401
6,1,0,0,6,-0.146,109.5635,108.401,1,1,108.255
7,1,0,0,7,0.683,109.3018,108.255,1,0,108.938
8,1,0,0,8,-0.727,109.2411667,108.255,1,1,108.211
9,1,0,0,9,0.196,109.094,108.211,1,0,108.407
10,1,0,0,10,0.308,109.008125,108.211,1,0,108.715
11,1,0,0,11,3.867,108.9755556,108.211,0,0,112.582
12,0,0,1,1,12.561,109.3362,108.211,0,0,125.143
13,0,0,1,2,-17.163,110.7731818,108.211,1,1,107.98
14,0,0,1,3,-0.4,110.5404167,107.98,1,1,107.58
15,0,0,1,4,-0.599,110.3126923,107.58,1,1,106.981
16,0,0,1,5,0.343,110.0747143,106.981,1,0,107.324
17,0,0,1,6,0.498,109.8913333,106.981,1,0,107.822
18,0,0,1,7,-0.622,109.762,106.981,1,0,107.2
19,0,0,1,8,-0.421,109.6112941,106.981,1,1,106.779
20,0,0,1,9,0.244,109.4539444,106.779,1,0,107.023
21,0,0,1,10,0.011,109.326,106.779,1,0,107.034
22,0,0,1,11,-0.293,109.2114,106.779,1,1,106.741
23,0,0,1,12,0.018,109.0937619,106.741,1,0,106.759
24,0,0,1,13,-0.028,108.9876364,106.741,1,1,106.731
25,0,0,1,14,0.29,108.8895217,106.731,1,0,107.021
26,0,0,1,15,-0.425,108.8116667,106.731,1,1,106.596
27,0,0,1,16,-0.029,108.72304,106.596,1,1,106.567
28,0,0,1,17,0.253,108.6401154,106.567,1,0,106.82
29,0,0,1,18,-0.271,108.5727037,106.567,1,1,106.549
30,0,0,1,19,1.208,108.5004286,106.549,1,0,107.757
31,0,0,1,20,40.333,108.4747931,106.549,0,0,148.09
36,0,0,1,25,-34.046,109.7953,106.549,0,0,114.044
37,0,0,1,26,-4.962,109.9323548,106.549,1,0,109.082
38,0,0,1,27,-1.792,109.9057813,106.549,1,0,107.29
39,0,0,1,28,-0.995,109.8265152,106.549,1,1,106.295
40,0,0,1,29,-0.194,109.7226471,106.295,1,1,106.101
41,0,0,1,30,-0.092,109.6191714,106.101,1,1,106.009
42,0,0,1,31,-0.086,109.5188889,106.009,1,1,105.923
43,0,0,1,32,-0.21,109.4217027,105.923,1,1,105.713
44,0,0,1,33,0.066,109.3241053,105.713,1,0,105.779
45,0,0,1,34,0.274,109.2332051,105.713,1,0,106.053
46,0,0,1,35,0.488,109.1537,105.713,1,0,106.541
47,0,0,1,36,32.914,109.0899756,105.713,0,0,139.455
50,1,0,0,4,10.006,109.8129524,105.713,0,0,149.461
51,1,0,0,5,-42.843,110.735,105.713,1,0,106.618
3,1,0,0,6,-1.385,111.296,111.296,1,1,109.911
4,1,0,0,7,-2.421,110.6035,109.911,1,1,107.49
5,1,0,0,8,1.511,109.5656667,107.49,1,0,109.001
6,1,0,0,9,-0.229,109.4245,107.49,1,0,108.772
7,1,0,0,10,3.259,109.294,107.49,0,0,112.031
8,0,0,1,1,12.014,109.7501667,107.49,0,0,124.045
9,0,0,1,2,-16.571,111.7922857,107.49,1,1,107.474
10,0,0,1,3,-0.496,111.2525,107.474,1,1,106.978
11,0,0,1,4,1.734,110.7775556,106.978,1,0,108.712
12,0,0,1,5,-1.156,110.571,106.978,1,0,107.556
13,0,0,1,6,-0.078,110.2969091,106.978,1,0,107.478
14,0,0,1,7,-0.222,110.062,106.978,1,0,107.256
15,0,0,1,8,0.057,109.8461538,106.978,1,0,107.313
16,0,0,1,9,-0.468,109.6652143,106.978,1,1,106.845
17,0,0,1,10,-0.087,109.4772,106.845,1,1,106.758
18,0,0,1,11,0.009,109.30725,106.758,1,0,106.767
19,0,0,1,12,-0.343,109.1578235,106.758,1,1,106.424
20,0,0,1,13,0.577,109.0059444,106.424,1,0,107.001
21,0,0,1,14,0.26,108.9004211,106.424,1,0,107.261
22,0,0,1,15,-0.382,108.81845,106.424,1,0,106.879
23,0,0,1,16,-0.431,108.7260952,106.424,1,0,106.448
24,0,0,1,17,0.118,108.6225455,106.424,1,0,106.566
25,0,0,1,18,-0.007,108.5331304,106.424,1,0,106.559
26,0,0,1,19,0.054,108.450875,106.424,1,0,106.613
27,0,0,1,20,-0.077,108.37736,106.424,1,0,106.536
28,0,0,1,21,-0.078,108.3065385,106.424,1,0,106.458
29,0,0,1,22,0.212,108.2380741,106.424,1,0,106.67
30,0,0,1,23,1.496,108.1820714,106.424,1,0,108.166
36,0,0,1,29,5.259,108.1815172,106.424,0,0,113.425
37,0,0,1,30,-5.327,108.3563,106.424,1,0,108.098
38,0,0,1,31,-1.321,108.3479677,106.424,1,0,106.777
39,0,0,1,32,-0.702,108.298875,106.424,1,1,106.075
40,0,0,1,33,0.025,108.2314848,106.075,1,0,106.1
41,0,0,1,34,-0.774,108.1687941,106.075,1,1,105.326
42,0,0,1,35,0.277,108.0875714,105.326,1,0,105.603
43,0,0,1,36,0.227,108.0185556,105.326,1,0,105.83
44,0,0,1,37,0.772,107.9594054,105.326,1,0,106.602
45,0,0,1,38,-0.685,107.9236842,105.326,1,0,105.917
46,0,0,1,39,0.168,107.8722308,105.326,1,0,106.085
47,0,0,1,40,28.774,107.82755,105.326,0,0,134.859
50,1,0,0,4,13.032,108.4868537,105.326,0,0,147.891
51,1,0,0,5,-41.228,109.4250476,105.326,1,0,106.663
3,1,0,0,3,-1.137,110.157,110.157,1,1,109.02
4,1,0,0,4,-0.593,109.5885,109.02,1,1,108.427
5,1,0,0,5,0.36,109.2013333,108.427,1,0,108.787
6,1,0,0,6,-0.07,109.09775,108.427,1,0,108.717
7,1,0,0,7,-0.287,109.0216,108.427,1,0,108.43
8,1,0,0,8,-0.241,108.923,108.427,1,1,108.189
9,1,0,0,9,0.938,108.8181429,108.189,0,0,109.127
10,1,0,0,10,-1.469,108.85675,108.189,1,1,107.658
11,1,0,0,11,-0.384,108.7235556,107.658,1,1,107.274
12,1,0,0,12,-0.209,108.5786,107.274,1,1,107.065
13,1,0,0,13,0.119,108.441,107.065,1,0,107.184
14,1,0,0,14,-0.332,108.33625,107.065,1,1,106.852
15,1,0,0,15,-0.209,108.2220769,106.852,1,1,106.643
16,1,0,0,16,-0.034,108.1092857,106.643,1,1,106.609
17,1,0,0,17,-0.027,108.0092667,106.609,1,1,106.582
18,1,0,0,18,3.777,107.9200625,106.582,0,0,110.359
19,0,0,1,1,12.433,108.0635294,106.582,0,0,122.792
20,0,0,1,2,-16.265,108.8817778,106.582,1,1,106.527
21,0,0,1,3,0.066,108.7578421,106.527,1,0,106.593
22,0,0,1,4,0.101,108.6496,106.527,1,0,106.694
23,0,0,1,5,-0.226,108.5564762,106.527,1,1,106.468
24,0,0,1,6,0.053,108.4615455,106.468,1,0,106.521
25,0,0,1,7,-0.177,108.3771739,106.468,1,1,106.344
26,0,0,1,8,-0.232,108.2924583,106.344,1,1,106.112
27,0,0,1,9,0.537,108.20524,106.112,1,0,106.649
28,0,0,1,10,-0.038,108.1453846,106.112,1,0,106.611
29,0,0,1,11,-0.313,108.0885556,106.112,1,0,106.298
30,0,0,1,12,0.797,108.0246071,106.112,1,0,107.095
31,0,0,1,13,34.122,107.9925517,106.112,0,0,141.217
36,0,0,1,18,-29.815,109.1000333,106.112,0,0,111.402
37,0,0,1,19,-4.645,109.1742903,106.112,1,0,106.757
38,0,0,1,20,-0.829,109.09875,106.112,1,1,105.928
39,0,0,1,21,-0.447,109.0026667,105.928,1,1,105.481
40,0,0,1,22,-0.019,108.8990882,105.481,1,1,105.462
41,0,0,1,23,-0.572,108.8008857,105.462,1,1,104.89
42,0,0,1,24,0.486,108.69225,104.89,1,0,105.376
43,0,0,1,25,-0.126,108.6026216,104.89,1,0,105.25
44,0,0,1,26,-0.336,108.5143947,104.89,1,0,104.914
45,0,0,1,27,0.875,108.4220769,104.89,1,0,105.789
46,0,0,1,28,-0.463,108.35625,104.89,1,0,105.326
47,0,0,1,29,28.333,108.2823415,104.89,0,0,133.659
51,1,0,0,5,-28.521,108.8865476,104.89,1,0,105.138
3,0,1,0,3,-1.523,112.208,112.208,1,1,110.685
4,0,1,0,4,-0.738,111.4465,110.685,1,1,109.947
