DriverNumber,LapNumber,soft_compound,medium_compound,hard_compound,tyrelife,last_lap_delta,faster_than_last,faster_than_avg,rolling_lt_avg,rolling_fastest_lap,faster_than_avg,new_fastest_l,new_fastest_l_sum,faster_avg_sum,faster_last_sum,laptime
3,3,1,0,0,3.0,-0.725999999999999,1,1,110.972,110.972,1,1,1,1,1,110.246
3,4,1,0,0,4.0,-1.61099999999999,1,1,110.609,110.246,1,1,2,2,2,108.635
3,5,1,0,0,5.0,-0.234000000000009,1,1,109.951,108.635,1,1,3,3,3,108.401
3,6,1,0,0,6.0,-0.146000000000001,1,1,109.5635,108.401,1,1,4,4,4,108.255
3,7,1,0,0,7.0,0.683000000000007,0,1,109.3018,108.255,1,0,4,5,4,108.938
3,8,1,0,0,8.0,-0.727000000000004,1,1,109.241166666667,108.255,1,1,5,6,5,108.211
3,9,1,0,0,9.0,0.195999999999998,0,1,109.094,108.211,1,0,5,7,5,108.407
3,10,1,0,0,10.0,0.308000000000007,0,1,109.008125,108.211,1,0,5,8,5,108.715
3,11,1,0,0,11.0,3.86699999999999,0,0,108.975555555556,108.211,0,0,5,8,5,112.582
4,3,1,0,0,6.0,-1.38500000000001,1,1,111.296,111.296,1,1,1,1,1,109.911
4,4,1,0,0,7.0,-2.42100000000001,1,1,110.6035,109.911,1,1,2,2,2,107.49
4,5,1,0,0,8.0,1.51100000000001,0,1,109.565666666667,107.49,1,0,2,3,2,109.001
4,6,1,0,0,9.0,-0.228999999999999,1,1,109.4245,107.49,1,0,2,4,3,108.772
4,7,1,0,0,10.0,3.259,0,0,109.294,107.49,0,0,2,4,3,112.031
4,8,0,0,1,1.0,12.014,0,0,109.750166666667,107.49,0,0,2,4,3,124.045
4,9,0,0,1,2.0,-16.571,1,1,111.792285714286,107.49,1,1,3,5,4,107.474
4,10,0,0,1,3.0,-0.496000000000009,1,1,111.2525,107.474,1,1,4,6,5,106.978
4,11,0,0,1,4.0,1.73400000000001,0,1,110.777555555556,106.978,1,0,4,7,5,108.712
5,3,1,0,0,3.0,-1.137,1,1,110.157,110.157,1,1,1,1,1,109.02
5,4,1,0,0,4.0,-0.592999999999989,1,1,109.5885,109.02,1,1,2,2,2,108.427
5,5,1,0,0,5.0,0.359999999999999,0,1,109.201333333333,108.427,1,0,2,3,2,108.787
5,6,1,0,0,6.0,-0.0700000000000074,1,1,109.09775,108.427,1,0,2,4,3,108.717
5,7,1,0,0,7.0,-0.286999999999992,1,1,109.0216,108.427,1,0,2,5,4,108.43
5,8,1,0,0,8.0,-0.241000000000014,1,1,108.923,108.427,1,1,3,6,5,108.189
5,9,1,0,0,9.0,0.938000000000002,0,0,108.818142857143,108.189,0,0,3,6,5,109.127
5,10,1,0,0,10.0,-1.46899999999999,1,1,108.85675,108.189,1,1,4,7,6,107.658
5,11,1,0,0,11.0,-0.384,1,1,108.723555555556,107.658,1,1,5,8,7,107.274
6,3,0,1,0,3.0,-1.523,1,1,112.208,112.208,1,1,1,1,1,110.685
6,4,0,1,0,4.0,-0.738,1,1,111.4465,110.685,1,1,2,2,2,109.947
6,5,0,1,0,5.0,-0.475000000000009,1,1,110.946666666667,109.947,1,1,3,3,3,109.472
6,6,0,1,0,6.0,-0.00300000000000011,1,1,110.578,109.472,1,1,4,4,4,109.469
6,7,0,1,0,7.0,-0.146999999999991,1,1,110.3562,109.469,1,1,5,5,5,109.322
6,8,0,1,0,8.0,-0.0679999999999978,1,1,110.183833333333,109.322,1,1,6,6,6,109.254
6,9,0,1,0,9.0,5.10299999999999,0,0,110.051,109.254,0,0,6,6,6,114.357
6,10,0,0,1,1.0,14.349,0,0,110.58925,109.254,0,0,6,6,6,128.706
6,11,0,0,1,2.0,-20.159,1,1,112.602222222222,109.254,1,1,7,7,7,108.547
7,3,0,1,0,3.0,0.317999999999998,0,0,111.655,111.655,0,0,0,0,0,111.973
7,4,0,1,0,4.0,-1.718,1,1,111.814,111.655,1,1,1,1,1,110.255
7,5,0,1,0,5.0,-1.39,1,1,111.294333333333,110.255,1,1,2,2,2,108.865
7,6,0,1,0,6.0,0.159000000000006,0,1,110.687,108.865,1,0,2,3,2,109.024
7,7,0,1,0,7.0,-0.239000000000004,1,1,110.3544,108.865,1,1,3,4,3,108.785
7,8,0,1,0,8.0,-0.218000000000004,1,1,110.092833333333,108.785,1,1,4,5,4,108.567
7,9,0,1,0,9.0,-0.0679999999999978,1,1,109.874857142857,108.567,1,1,5,6,5,108.499
7,10,0,1,0,10.0,0.786000000000001,0,1,109.702875,108.499,1,0,5,7,5,109.285
7,11,0,1,0,11.0,0.0660000000000025,0,1,109.656444444444,108.499,1,0,5,8,5,109.351
9,3,1,0,0,3.0,-1.92400000000001,1,1,113.144,113.144,1,1,1,1,1,111.22
9,4,1,0,0,4.0,-1.265,1,1,112.182,111.22,1,1,2,2,2,109.955
9,5,1,0,0,5.0,-0.0840000000000032,1,1,111.439666666667,109.955,1,1,3,3,3,109.871
9,6,1,0,0,6.0,0.408000000000001,0,1,111.0475,109.871,1,0,3,4,3,110.279
9,7,1,0,0,7.0,0.385000000000005,0,1,110.8938,109.871,1,0,3,5,3,110.664
9,8,1,0,0,8.0,0.326999999999998,0,0,110.8555,109.871,0,0,3,5,3,110.991
9,9,1,0,0,9.0,6.053,0,0,110.874857142857,109.871,0,0,3,5,3,117.044
9,10,0,0,1,1.0,13.504,0,0,111.646,109.871,0,0,3,5,3,130.548
9,11,0,0,1,2.0,-19.077,1,1,113.746222222222,109.871,1,0,3,6,4,111.471
10,3,1,0,0,8.0,0.175999999999988,0,0,109.031,109.031,0,0,0,0,0,109.207
10,4,1,0,0,9.0,-1.26899999999999,1,1,109.119,109.031,1,1,1,1,1,107.938
10,5,1,0,0,10.0,-0.295000000000002,1,1,108.725333333333,107.938,1,1,2,2,2,107.643
10,6,1,0,0,11.0,0.272000000000006,0,1,108.45475,107.643,1,0,2,3,2,107.915
10,7,1,0,0,12.0,-0.210000000000008,1,1,108.3468,107.643,1,0,2,4,3,107.705
10,8,1,0,0,13.0,-0.308999999999997,1,1,108.239833333333,107.643,1,1,3,5,4,107.396
10,9,1,0,0,14.0,0.0139999999999958,0,1,108.119285714286,107.396,1,0,3,6,4,107.41
10,10,1,0,0,15.0,-0.311999999999998,1,1,108.030625,107.396,1,1,4,7,5,107.098
10,11,1,0,0,16.0,4.184,0,0,107.927,107.098,0,0,4,7,5,111.282
11,3,1,0,0,6.0,-0.536000000000001,1,1,109.18,109.18,1,1,1,1,1,108.644
11,4,1,0,0,7.0,-0.802000000000007,1,1,108.912,108.644,1,1,2,2,2,107.842
11,5,1,0,0,8.0,-0.685000000000002,1,1,108.555333333333,107.842,1,1,3,3,3,107.157
11,6,1,0,0,9.0,0.356000000000009,0,1,108.20575,107.157,1,0,3,4,3,107.513
11,7,1,0,0,10.0,-0.466999999999999,1,1,108.0672,107.157,1,1,4,5,4,107.046
11,8,1,0,0,11.0,0.22699999999999,0,1,107.897,107.046,1,0,4,6,4,107.273
11,9,1,0,0,12.0,0.14200000000001,0,1,107.807857142857,107.046,1,0,4,7,4,107.415
11,10,1,0,0,13.0,-0.534000000000006,1,1,107.75875,107.046,1,1,5,8,5,106.881
11,11,1,0,0,14.0,0.616,0,1,107.661222222222,106.881,1,0,5,9,5,107.497
14,3,1,0,0,6.0,-1.30199999999999,1,1,110.062,110.062,1,1,1,1,1,108.76
14,4,1,0,0,7.0,-0.097999999999999,1,1,109.411,108.76,1,1,2,2,2,108.662
14,5,1,0,0,8.0,-0.214000000000013,1,1,109.161333333333,108.662,1,1,3,3,3,108.448
14,6,1,0,0,9.0,0.484000000000009,0,1,108.983,108.448,1,0,3,4,3,108.932
14,7,1,0,0,10.0,5.583,0,0,108.9728,108.448,0,0,3,4,3,114.515
