year,LapNumber,sc_laps,track_clear_laps
2018,1.0,No SC,Track Not Clear
2019,1.0,No SC,Track Clear
2018,2.0,SC,Track Not Clear
2019,2.0,No SC,Track Clear
2018,3.0,SC,Track Not Clear
2019,3.0,No SC,Track Clear
2018,4.0,SC,Track Not Clear
2019,4.0,No SC,Track Clear
2018,5.0,SC,Track Not Clear
2019,5.0,No SC,Track Clear
2018,6.0,No SC,Track Clear
2019,6.0,No SC,Track Clear
2018,7.0,No SC,Track Clear
2019,7.0,No SC,Track Clear
2018,8.0,No SC,Track Clear
2019,8.0,No SC,Track Clear
2018,9.0,No SC,Track Clear
2019,9.0,No SC,Track Clear
2018,10.0,No SC,Track Not Clear
2019,10.0,No SC,Track Clear
2018,11.0,No SC,Track Not Clear
2019,11.0,No SC,Track Clear
2018,12.0,No SC,Track Clear
2019,12.0,No SC,Track Clear
2018,13.0,No SC,Track Clear
2019,13.0,No SC,Track Clear
2018,14.0,No SC,Track Not Clear
2019,14.0,No SC,Track Clear
2018,15.0,No SC,Track Not Clear
2019,15.0,No SC,Track Clear
2018,16.0,No SC,Track Clear
2019,16.0,No SC,Track Clear
2018,17.0,No SC,Track Clear
2019,17.0,No SC,Track Clear
2018,18.0,No SC,Track Not Clear
2019,18.0,No SC,Track Clear
2018,19.0,No SC,Track Clear
2019,19.0,No SC,Track Clear
2018,20.0,No SC,Track Not Clear
2019,20.0,No SC,Track Clear
2018,21.0,No SC,Track Not Clear
2019,21.0,No SC,Track Clear
2018,22.0,No SC,Track Clear
2019,22.0,No SC,Track Clear
2018,23.0,No SC,Track Clear
2019,23.0,No SC,Track Clear
2018,24.0,No SC,Track Clear
2019,24.0,No SC,Track Clear
2018,25.0,No SC,Track Clear
2019,25.0,No SC,Track Clear
2018,26.0,No SC,Track Clear
2019,26.0,No SC,Track Clear
2018,27.0,No SC,Track Clear
2019,27.0,No SC,Track Clear
2018,28.0,No SC,Track Clear
2019,28.0,No SC,Track Clear
2018,29.0,No SC,Track Clear
2019,29.0,No SC,Track Clear
2018,30.0,No SC,Track Clear
2019,30.0,No SC,Track Not Clear
2018,31.0,No SC,Track Clear
2019,31.0,No SC,Track Not Clear
2018,32.0,No SC,Track Clear
2019,32.0,No SC,Track Not Clear
2018,33.0,No SC,Track Clear
2019,33.0,No SC,Track Not Clear
2018,34.0,No SC,Track Clear
2019,34.0,No SC,Track Clear
2018,35.0,No SC,Track Clear
2019,35.0,No SC,Track Clear
2018,36.0,No SC,Track Clear
2019,36.0,No SC,Track Clear
2018,37.0,No SC,Track Clear
2019,37.0,No SC,Track Clear
2018,38.0,No SC,Track Not Clear
2019,38.0,No SC,Track Not Clear
2018,39.0,SC,Track Not Clear
2019,39.0,SC,Track Not Clear
2018,40.0,SC,Track Not Clear
2019,40.0,SC,Track Not Clear
2018,41.0,SC,Track Not Clear
2019,41.0,No SC,Track Not Clear
2018,42.0,SC,Track Not Clear
2019,42.0,No SC,Track Clear
2018,43.0,SC,Track Not Clear
2019,43.0,No SC,Track Clear
2018,44.0,SC,Track Not Clear
2019,44.0,No SC,Track Clear
2018,45.0,SC,Track Not Clear
2019,45.0,No SC,Track Clear
2018,46.0,SC,Track Not Clear
2019,46.0,No SC,Track Clear
2018,47.0,SC,Track Not Clear
2019,47.0,No SC,Track Clear
2018,48.0,No SC,Track Clear
2019,48.0,No SC,Track Clear
2018,49.0,No SC,Track Not Clear
2019,49.0,No SC,Track Clear
2018,50.0,No SC,Track Not Clear
2019,50.0,No SC,Track Clear
2018,51.0,No SC,Track Clear
2019,51.0,No SC,Track Clear
